,VIN,brand,model,trim,manufacture_year,mileage,MPG_city,MPG_highway,transmission,drive_type,fuel_type,exterior_color,interior_color,accidents,owners,car_usage_type,location,price
5870, 1FMCU0G98FUA18605,Ford,['Escape'],SE FWD,2015,"141,611", 23,32, Automatic, FWD,Gas,Black,Black,0,2, Personal use,"Littleton, CO","9,999"
5871, 1C4RJFBG6KC787152,Jeep,"['Grand', 'Cherokee']",Limited 4WD,2019,"58,010", 18,25, Automatic, 4WD,Gas,Gray,Black,1,1, Personal use,"Glen Mills, PA","33,263"
5872, KM8JU3AC8DU658324,Hyundai,['Tucson'],GLS FWD Automatic,2013,"138,223", 21,30, Automatic, FWD,Gas,Red,Beige,1,2, Personal use,"Libertyville, IL","7,979"
5873, 1FTNE1EW1DDA62354,Ford,"['Econoline', 'Cargo', 'Van']",E-150 Commercial,2013,"76,746", 13,17, Automatic, RWD,Gas,White,Gray,2,2, Fleet use,"Houston, TX","14,900"
5874, 1FT8W3D65HEB96453,Ford,"['Super', 'Duty', 'F-350']",Lariat Crew Cab 8' Bed 4WD DRW,2017,"13,733",n/a,n/a,n/a,n/a,n/a,Black,Black,0,2, Personal use,"Aumsville, OR","67,977"
5875, WA1BNAFYXJ2003730,Audi,['Q5'],Premium Plus,2018,"66,614", 23,27, Automatic, AWD,Gas,Black,Beige,0,3, Fleet use,"Lubbock, TX","28,992"
5876, 2C3CDZAG5JH321888,Dodge,['Challenger'],SXT RWD Automatic,2018,"85,425", 19,30, Automatic, RWD,Gas,Black,Black,0,2, Personal use,"El Cajon, CA","22,138"
5877, 1GCUYDED8KZ183790,Chevrolet,"['Silverado', '1500']",LT Crew Cab Short Box 4WD,2019,"31,626", 19,22, Automatic, 4WD,Gas,Black,Black,0,1, Personal use,"Fort Worth, TX","38,990"
5878, 1G1ZD5ST7LF104348,Chevrolet,['Malibu'],LT,2020,"53,199", 29,36, Automatic, FWD,Gas,Silver,Black,0,1, Personal use,"Newnan, GA","20,977"
5879, JTDS4RCE9LJ005883,Toyota,['Corolla'],SE CVT,2020,"37,464", 31,40, Automatic, FWD,Gas,Silver,Gray,0,1, Personal use,"N. Miami Beach, FL","22,144"
